targets,week,recipe_id,recipe_title,display,ingredient_item,grams_resolved,grams_source,recipe_concept_key,resolution_tier,priced_concept_key,selected_packages,purchase_grams,purchase_cost
chicken,1,225112,Easy Egg Drop Soup,4 cups fat-free chicken broth,fat-free chicken broth,820.00,usda_sr28_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3785.4,5.25
chicken,1,79201,Veg-All and Pasta,1 chicken bouillon cube,chicken bouillon,5.00,blob,Pantry > Broth & Stock > Chicken Broth|J0A10084,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3785.4,5.25
chicken,2,79201,Veg-All and Pasta,1 chicken bouillon cube,chicken bouillon,5.00,blob,Pantry > Broth & Stock > Chicken Broth|J0A10084,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",428.8,0.72
chicken,2,479610,Mexican Black Bean Soup,1 tablespoon chicken soup powder,chicken soup powder,10.00,blob,Pantry > Soup > Chicken Soup|H310500=,path_only,Pantry > Soup > Chicken Soup|H310000N,"1x Great Value Chicken and Stars Condensed Soup, 10.5 oz",297.7,0.92
fresh_tomato,2,12440,Brandee's Chicken Wraps,"1 tomato, chopped",tomato,123.00,reviewed_household_portion_normalized,Produce > Vegetables > Tomatoes|6701100*,exact,Produce > Vegetables > Tomatoes|6701100*,1x Fresh Red Tomatoes,272.2,1.19
chicken,2,12440,Brandee's Chicken Wraps,"4 boneless skinless chicken breasts, cut into 1-inch chunks",boneless skinless chicken breasts,680.00,blob,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
chicken,2,440252,Baked Chicken Breasts with Sage Shallot Apple Dressing,"4 boneless skinless chicken breasts, trimmed and flattened",boneless skinless chicken breasts,680.00,blob,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
chicken,2,440252,Baked Chicken Breasts with Sage Shallot Apple Dressing,1/2 to 2/3 cup chicken broth,chicken broth,118.01,range_lower_bound,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",428.8,0.72
cheddar,2,118170,Hot Dog Egg Burritos,"4 slices American cheese, or cheddar cheese",American cheese,84.00,usda_sr28_normalized,Dairy > Cheese|110K000R,path_only,Dairy > Cheese|110Q0016,"1x Kroger® Singles American Sliced Cheese | 1x Great Value Muenster Deli Style Sliced Cheese, 8 oz, 12 Slices",680.4,4.96
chicken,2,505518,Oriental Chicken Broth,"4 chicken breast halves, with bones (or 1 whole chicken carcass or 3 chicken backs)",chicken bones,900.00,blob,Meat & Seafood > Poultry|300C000D,path_only,Meat & Seafood > Poultry|3000100N,1x Foster Farms Fresh & Natural Cage Free Chicken Gizzards & Hearts,907.2,2.76
chicken,2,505518,Oriental Chicken Broth,1 tablespoon chicken bouillon,chicken bouillon,6.00,usda_sr28_normalized,Pantry > Broth & Stock > Chicken Broth|J0A1000~,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",428.8,0.72
chicken,2,434225,Blood Pudding and Smoked Ham Soup,1 beef bouillon cube,bouillon cube,10.00,blob,Pantry > Broth & Stock > Chicken Broth|J420008K,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",428.8,0.72
fresh_tomato,3,462164,Breakfast Tacos,"1/2 cup cherry tomatoes, quartered",cherry tomatoes,74.50,reviewed_household_portion_normalized,Produce > Vegetables > Tomatoes|6701100*,exact,Produce > Vegetables > Tomatoes|6701100*,1x Fresh Red Tomatoes,272.2,1.19
cheddar,3,462164,Breakfast Tacos,"3/4 cup cheddar cheese, grated",cheddar cheese,84.75,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag | 1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.45
fresh_tomato,3,321251,Slow Cooker Frankfurter Noodles,10 3/4 ounces condensed tomato soup,condensed tomato soup,305.00,blob,Pantry > Soup > Tomato Soup|H309000A,exact,Pantry > Soup > Tomato Soup|H309000A,1x Kroger® Condensed Tomato Soup,303.9,0.75
cheddar,3,321251,Slow Cooker Frankfurter Noodles,"1 cup cheddar cheese, shredded",cheddar cheese,113.00,deterministic_modal_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag | 1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.45
chicken,3,388121,Simple Semolina Soup with Butter,2 liters meat broth,meat broth,2000.00,blob,Pantry > Broth & Stock > Chicken Broth|J9JY600U,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
chicken,3,113824,Broccoli Cheese Noodle Soup,6 chicken bouillon cubes,chicken bouillon cube,24.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0A10084,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
chicken,3,497481,Chicken Breasts Supreme,4 boneless skinless chicken breasts,boneless skinless chicken breasts,680.00,blob,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
chicken,3,497481,Chicken Breasts Supreme,1/2 cup chicken broth,chicken broth,120.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
chicken,3,503154,Easy and Basic Boneless Chicken Breasts,"4 boneless chicken breasts, about 6 oz each",boneless chicken breasts,680.00,blob,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
chicken,3,503154,Easy and Basic Boneless Chicken Breasts,1/2 cup chicken broth,chicken broth,120.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
cheddar,3,268202,Apple Cheddar Quesadillas,"12 ounces sharp cheddar cheese, shredded",sharp cheddar cheese,340.20,deterministic_modal_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag | 1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.45
cheddar,3,75872,Creamy Baked Potato Boats with Cheese,"1⁄4 lb sharp cheddar cheese, grated",sharp cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag | 1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.45
fresh_tomato,3,131482,Pan-Fried Bean Burritos,"2 medium tomatoes (10 oz total), halved",tomatoes,240.00,reviewed_household_portion_normalized,Produce > Vegetables > Tomatoes|6701100*,exact,Produce > Vegetables > Tomatoes|6701100*,1x Fresh Red Tomatoes,272.2,1.19
cheddar,4,385501,Quick Mini Vegetable Frittatas,"75 g cheddar cheese, grated",cheddar cheese,75.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
chicken,4,211705,Oven-Baked Fried Rice,3 cups water or chicken stock,chicken stock,720.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J5T66001,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",857.6,1.44
cheddar,4,15780,Quick Mexican Pizza,"3 ounces cheddar cheese, shredded",cheddar cheese,85.05,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
cheddar,4,53758,Scrambled Eggs with Tortillas,1/2 cup shredded cheddar cheese,cheddar cheese,56.50,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
cheddar,4,75872,Creamy Baked Potato Boats with Cheese,"1⁄4 lb sharp cheddar cheese, grated",sharp cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
cheddar,4,152599,Run for the Border Chili Cheese Burritos,1 to 1 1/2 cups shredded cheddar cheese,cheddar cheese,113.00,range_lower_bound,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
cheddar,4,83822,Black Bean Onion Soup,"1/4 cup shredded cheddar cheese, for topping (optional)",shredded cheddar cheese,28.25,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
pork,4,421698,Kentucky Breakfast Soufflé,16 ounces pork sausage (mild or maple),pork sausage,454.00,blob,Meat & Seafood > Sausage > Pork Sausage|2422000X,exact,Meat & Seafood > Sausage > Pork Sausage|2422000X,1x Kroger® Mild Pork Sausage Roll,453.6,3.49
cheddar,4,421698,Kentucky Breakfast Soufflé,"2 cups cheddar cheese, grated",cheddar cheese,226.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
chicken,4,224635,Spicy Drumsticks With Pasta,"8 medium chicken drumsticks, skin removed",chicken drumsticks,640.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"2x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",1995.8,6.74
chicken,4,103806,Hot & Spicy Chili Chicken Drumsticks,"8 chicken drumsticks, skin on",chicken drumsticks,640.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"2x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",1995.8,6.74
cheddar,4,450721,Baked Eggs with Spinach and Cheddar,"100 g cheddar cheese, shredded",cheddar cheese,100.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
chicken,4,93911,Black and White and Red All Over Soup,1 can (14.5 oz) chicken broth,chicken broth,411.00,blob,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",857.6,1.44
chicken,4,162201,Burlington Vermont Chicken Drumsticks,8 skinless chicken drumsticks,chicken drumsticks,640.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"2x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",1995.8,6.74
chicken,4,123716,A+ Potato-Cheese Soup,"1–2 chicken bouillon cubes, crumbled",chicken bouillon cube,10.00,range_lower_bound,Pantry > Broth & Stock > Chicken Broth|J0A10073,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",857.6,1.44
chicken,4,123716,A+ Potato-Cheese Soup,1 can (10.5 oz) cream of chicken soup,cream of chicken soup,298.00,blob,Pantry > Soup > Cream of Chicken Soup|H3G1600Q,exact,Pantry > Soup > Cream of Chicken Soup|H3G1600Q,"1x Great Value 98% Fat Free and 50% Less Sodium Cream of Chicken Condensed Soup, 10.5 oz",297.7,0.7
cheddar,5,421698,Kentucky Breakfast Soufflé,"2 cups cheddar cheese, grated",cheddar cheese,226.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
cheddar,5,75872,Creamy Baked Potato Boats with Cheese,"1⁄4 lb sharp cheddar cheese, grated",sharp cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
chicken,5,29600,Barbecued Chicken Drumsticks Parmesan,"8 chicken drumsticks, skinned",chicken drumsticks,640.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"2x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",1995.8,6.74
chicken,5,430055,Sticky Chicken Drumsticks,"8 chicken drumsticks, skin on",chicken drumsticks,640.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"2x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",1995.8,6.74
cheddar,5,473964,Black Bean Breakfast Burritos,"1/2 cup cheddar cheese, shredded",cheddar cheese,56.50,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
avocado,5,473964,Black Bean Breakfast Burritos,"1 avocado, sliced",avocado,150.00,reviewed_household_portion_normalized,Produce > Vegetables > Avocado|6016001G,path_only,Produce > Vegetables > Avocado|60161003,1x Fresh Medium Ripe Avocado,453.6,0.75
cheddar,5,504971,Vegetarian Wet Burrito Bake,"1 cup shredded cheddar cheese, divided",cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
chicken,5,509306,Easy Mango Chicken Drumsticks,8 chicken drumsticks,chicken drumsticks,640.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"2x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",1995.8,6.74
cheddar,6,341125,Spanish Omelette,"100 g cheddar cheese, grated",cheddar cheese,100.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
chicken,6,226917,"ABC Soup with Alphabet Pasta, Vegetables, and Chickpeas",2 cups chicken broth (or 2 bouillon cubes and 2 cups water),chicken broth,480.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1833.6,2.71
cheddar,6,249284,California Soft Tacos,1 cup shredded cheddar cheese,cheddar cheese,113.00,deterministic_modal_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
head_lettuce,6,249284,California Soft Tacos,"6 leaves romaine lettuce, chopped",romaine lettuce,72.00,reviewed_household_portion_normalized,Produce > Vegetables > Romaine Lettuce|600D000*,exact,Produce > Vegetables > Romaine Lettuce|600D000*,1x Romaine Lettuce,453.6,2.39
fresh_tomato,6,249284,California Soft Tacos,1 cup chopped tomato,tomato,240.00,reviewed_household_portion_normalized,Produce > Vegetables > Tomatoes|6701100*,exact,Produce > Vegetables > Tomatoes|6701100*,1x Fresh Red Tomatoes,272.2,1.19
cheddar,6,129103,Mini Cheese Quesadillas,1 cup shredded cheddar cheese,cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
cheddar,6,201620,Cheesy Beanburgers,"100 g cheddar cheese, grated",cheddar cheese,100.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
cheddar,6,44265,Zesty Corn Quesadillas,2 cups shredded cheddar cheese or shredded Monterey jack cheese,cheddar cheese,226.00,deterministic_modal_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
chicken,6,19744,Southwestern Chicken & Pepper Wraps,"1 lb boneless skinless chicken breasts, cut into strips",boneless skinless chicken breasts,453.60,deterministic_modal_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
chicken,6,323862,Easy Delicious Enchiladas,2–3 boneless skinless chicken breasts,boneless skinless chicken breasts,680.00,range_lower_bound,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
chicken,6,103869,Cheddar Chicken Chowder,"1/2 lb boneless skinless chicken breast, cut into bite-sized pieces",boneless skinless chicken breast,226.80,deterministic_modal_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
chicken,6,103869,Cheddar Chicken Chowder,1 can (14.5 oz) chicken broth,chicken broth,411.00,blob,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1833.6,2.71
cheddar,6,103869,Cheddar Chicken Chowder,"1 cup cheddar cheese, shredded",cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"3x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.91
chicken,6,99060,Peanut Sundi Soup,3 cups chicken broth,chicken broth,720.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1833.6,2.71
chicken,7,467479,Hearty Corn and Potato Chowder,2 cups chicken broth,chicken broth,480.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
chicken,7,457015,Nigerian Peanut Soup,4 cups chicken broth,chicken broth,960.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
chicken,7,67082,Deviled Chicken Soup,"1 lb boneless skinless chicken breasts, cut into 1-inch pieces",boneless skinless chicken breasts,453.60,deterministic_modal_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"2x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",2721.6,15.14
chicken,7,67082,Deviled Chicken Soup,2 cups chicken broth,chicken broth,480.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
chicken,7,53858,Chicken Breasts with Herb Butter,"4 bone-in chicken breasts, split",bone-in chicken breasts,908.00,blob,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"2x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",2721.6,15.14
chicken,7,283198,Crock Pot Chicken and Dumplings,"4 boneless skinless chicken breasts, cut into small chunks",boneless skinless chicken breasts,680.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"2x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",2721.6,15.14
chicken,7,283198,Crock Pot Chicken and Dumplings,2 cans (8 oz each) cream of chicken soup,cream of chicken soup,596.00,reviewed_household_portion_normalized,Pantry > Soup > Cream of Chicken Soup|H3G1600Q,exact,Pantry > Soup > Cream of Chicken Soup|H3G1600Q,"2x Great Value 98% Fat Free and 50% Less Sodium Cream of Chicken Condensed Soup, 10.5 oz",595.3,1.4
