kind,item,unit,grams_per_unit,reason,evidence,message
OUT_OF_RANGE,bay leaf,tbsp,1.8,SR28 bay leaf provides 1 tbsp crumbled at 1.8g for powder/crumbled use.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_bay_leaf_powder_tbsp_20260414),"tbsp typical 3-30g, got 1.8g"
OUT_OF_RANGE,bay leaf,cup,28.8,Derived from SR28 bay leaf tbsp 1.8g / tbsp times 16 for powder/crumbled use.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_bay_leaf_powder_cup_20260414),"cup typical 40-350g, got 28.8g"
OUT_OF_RANGE,arugula,cup,20,SR28 arugula half cup = 10g so cup = 20g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_arugula_cup_20260415),"cup typical 40-350g, got 20.0g"
OUT_OF_RANGE,peppercorn,count,0.05,One whole peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_peppercorn_piece_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,bay leaf,count,0.6,Single bay leaf = 0.6g per USDA whole dried,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_bay_leaf_count_20260415),"count typical 1-1500g, got 0.6g"
OUT_OF_RANGE,black cardamom pod,count,0.4,One black cardamom pod ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_black_cardamom_pod_count_20260415),"count typical 1-1500g, got 0.4g"
OUT_OF_RANGE,cloves,count,0.05,One whole clove ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_cloves_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,black peppercorn,count,0.05,One whole peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_black_peppercorn_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,mint leaf,count,0.5,One fresh mint leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_mint_leaf_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,basil,leaf,0.5,One basil leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_basil_leaf_20260415),"leaf typical 1-30g, got 0.5g"
OUT_OF_RANGE,basil,count,0.5,Count basil leaf ~0.5g (defaults to leaf).,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_basil_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,pumpkin,count,3500,Whole standard pumpkin ~3.5kg.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_pumpkin_count_20260415),"count typical 1-1500g, got 3500.0g"
OUT_OF_RANGE,pepperoni,slice,3,One slice pepperoni ~3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_pepperoni_slice_20260415),"slice typical 5-100g, got 3.0g"
OUT_OF_RANGE,pine nut,count,0.1,One pine nut ~0.1g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_pinenut_count_20260415),"count typical 1-1500g, got 0.1g"
OUT_OF_RANGE,puff pastry,sheet,250,One sheet puff pastry ~250g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_puff_pastry_sheet_20260415),"sheet typical 5-50g, got 250.0g"
OUT_OF_RANGE,cake,round,750,One 9-inch round cake layer ~750g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_cake_pan_round_20260415),"round typical 10-100g, got 750.0g"
OUT_OF_RANGE,dill,sprig,0.4,One dill sprig ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dill_sprig_20260415),"sprig typical 1-25g, got 0.4g"
OUT_OF_RANGE,sage,leaf,0.3,One fresh sage leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_sage_leaf_20260415),"leaf typical 1-30g, got 0.3g"
OUT_OF_RANGE,lemongrass,stalk,15,One stalk lemongrass ~15g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_lemon_grass_stalk_20260415),"stalk typical 20-200g, got 15.0g"
OUT_OF_RANGE,bay leaf,piece,0.2,One bay leaf ~0.2g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_bay_leaf_piece_20260415),"piece typical 1-500g, got 0.2g"
OUT_OF_RANGE,bay leaves,piece,0.2,One bay leaf ~0.2g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_bay_leaves_piece_20260415),"piece typical 1-500g, got 0.2g"
OUT_OF_RANGE,caper,count,0.3,One caper ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_caper_count_20260415),"count typical 1-1500g, got 0.3g"
OUT_OF_RANGE,capers,count,0.3,One caper ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_capers_count_20260415),"count typical 1-1500g, got 0.3g"
OUT_OF_RANGE,dried basil,tsp,0.7,SR28 dried basil teaspoon leaf portion is 0.7g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_dried_basil_tsp_20260415),"tsp typical 1-12g, got 0.7g"
OUT_OF_RANGE,fresh tarragon,tsp,0.8,Fresh chopped herb teaspoon estimate aligned with fresh thyme.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_fresh_tarragon_tsp_20260415),"tsp typical 1-12g, got 0.8g"
OUT_OF_RANGE,thai basil,cup,24,Fresh basil cup estimate for loose leaves.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_thai_basil_cup_20260415),"cup typical 40-350g, got 24.0g"
OUT_OF_RANGE,chopped mint,tbsp,1.6,Chopped fresh mint tablespoon herb estimate.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_chopped_mint_tbsp_20260415),"tbsp typical 3-30g, got 1.6g"
OUT_OF_RANGE,mixed salad greens,cup,35,One cup loose mixed salad greens estimate.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_low100_mixed_salad_greens_cup_20260415),"cup typical 40-350g, got 35.0g"
OUT_OF_RANGE,thyme,count,0.5,Count thyme defaults to sprig.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_thyme_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,corn kernel,count,0.04,One corn kernel ~0.04g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_corn_kernel_count_20260415),"count typical 1-1500g, got 0.04g"
OUT_OF_RANGE,whole cloves,piece,0.05,One whole clove ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_cloves_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,whole cloves,count,0.05,One whole clove ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_cloves_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,black peppercorns,piece,0.05,One whole peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_black_peppercorns_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,black peppercorns,count,0.05,One whole peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_black_peppercorns_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,fresh basil leaves,piece,0.5,One basil leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_basil_leaves_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,fresh basil leaves,count,0.5,One basil leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_basil_leaves_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,basil leaves,piece,0.5,One basil leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_basil_leaves_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,basil leaves,count,0.5,One basil leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_basil_leaves_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,cardamom pods,piece,0.4,One cardamom pod ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_cardamom_pods_piece_20260415),"piece typical 1-500g, got 0.4g"
OUT_OF_RANGE,cardamom pods,count,0.4,One cardamom pod ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_cardamom_pods_count_20260415),"count typical 1-1500g, got 0.4g"
OUT_OF_RANGE,curry leaves,piece,0.3,One curry leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_curry_leaves_piece_20260415),"piece typical 1-500g, got 0.3g"
OUT_OF_RANGE,curry leaves,count,0.3,One curry leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_curry_leaves_count_20260415),"count typical 1-1500g, got 0.3g"
OUT_OF_RANGE,fresh thyme sprigs,piece,0.5,One thyme sprig ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_thyme_sprigs_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,fresh thyme sprigs,count,0.5,One thyme sprig ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_thyme_sprigs_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,fresh thyme sprigs,sprig,0.5,One thyme sprig ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_thyme_sprigs_sprig_20260415),"sprig typical 1-25g, got 0.5g"
OUT_OF_RANGE,green cardamom pods,piece,0.4,One cardamom pod ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_green_cardamom_pods_piece_20260415),"piece typical 1-500g, got 0.4g"
OUT_OF_RANGE,green cardamom pods,count,0.4,One cardamom pod ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_green_cardamom_pods_count_20260415),"count typical 1-1500g, got 0.4g"
OUT_OF_RANGE,star anise,piece,0.5,One star anise ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_star_anise_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,star anise,count,0.5,One star anise ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_star_anise_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,kaffir lime leaves,piece,0.5,One kaffir lime leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_kaffir_lime_leaves_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,kaffir lime leaves,count,0.5,One kaffir lime leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_kaffir_lime_leaves_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,mint leaves,piece,0.5,One mint leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_mint_leaves_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,mint leaves,count,0.5,One mint leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_mint_leaves_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,fresh ginger,slice,2,One slice fresh ginger ~2g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_ginger_slice_20260415),"slice typical 5-100g, got 2.0g"
OUT_OF_RANGE,whole black peppercorns,piece,0.05,One whole peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_black_peppercorns_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,whole black peppercorns,count,0.05,One whole peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_black_peppercorns_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,fresh sage leaves,piece,0.3,One sage leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_sage_leaves_piece_20260415),"piece typical 1-500g, got 0.3g"
OUT_OF_RANGE,fresh sage leaves,count,0.3,One sage leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_sage_leaves_count_20260415),"count typical 1-1500g, got 0.3g"
OUT_OF_RANGE,gallon water,piece,3785,One gallon water ~3785g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_gallon_water_piece_20260415),"piece typical 1-500g, got 3785.0g"
OUT_OF_RANGE,gallon water,count,3785,One gallon water ~3785g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_gallon_water_count_20260415),"count typical 1-1500g, got 3785.0g"
OUT_OF_RANGE,drops tabasco sauce,piece,0.05,One drop tabasco ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_drops_tabasco_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,drops tabasco sauce,count,0.05,One drop tabasco ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_drops_tabasco_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,drops green food coloring,piece,0.05,One drop food coloring ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_drops_food_coloring_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,drops green food coloring,count,0.05,One drop food coloring ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_drops_food_coloring_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,dashes tabasco sauce,piece,0.5,One dash tabasco ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dashes_tabasco_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,dashes tabasco sauce,count,0.5,One dash tabasco ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dashes_tabasco_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,juniper berries,piece,0.05,One juniper berry ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_juniper_berries_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,juniper berries,count,0.05,One juniper berry ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_juniper_berries_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,green onions,stalk,15,One green onion ~15g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_green_onions_stalk_20260415),"stalk typical 20-200g, got 15.0g"
OUT_OF_RANGE,fresh mint leaves,piece,0.5,One mint leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_mint_leaves_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,fresh mint leaves,count,0.5,One mint leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_mint_leaves_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,allspice berries,piece,0.05,One allspice berry ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_allspice_berries_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,allspice berries,count,0.05,One allspice berry ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_allspice_berries_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,whole peppercorns,piece,0.05,One whole peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_peppercorns_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,whole peppercorns,count,0.05,One whole peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_peppercorns_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,drops red food coloring,piece,0.05,One drop food coloring ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_drops_red_food_coloring_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,drops red food coloring,count,0.05,One drop food coloring ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_drops_red_food_coloring_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,whole star anise,piece,0.5,One whole star anise ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_star_anise_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,whole star anise,count,0.5,One whole star anise ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_star_anise_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,fresh basil,leaf,0.5,One basil leaf ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_basil_leaf_20260415),"leaf typical 1-30g, got 0.5g"
OUT_OF_RANGE,honeydew melon,piece,3000,One honeydew melon ~3000g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_honeydew_melon_piece_20260415),"piece typical 1-500g, got 3000.0g"
OUT_OF_RANGE,honeydew melon,count,3000,One honeydew melon ~3000g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_honeydew_melon_count_20260415),"count typical 1-1500g, got 3000.0g"
OUT_OF_RANGE,peppercorns,piece,0.05,One peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_peppercorns_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,peppercorns,count,0.05,One peppercorn ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_peppercorns_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,dried bay leaves,piece,0.2,One dried bay leaf ~0.2g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dried_bay_leaves_piece_20260415),"piece typical 1-500g, got 0.2g"
OUT_OF_RANGE,dried bay leaves,count,0.2,One dried bay leaf ~0.2g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dried_bay_leaves_count_20260415),"count typical 1-1500g, got 0.2g"
OUT_OF_RANGE,cantaloupe,piece,1500,One cantaloupe ~1500g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_cantaloupe_piece_20260415),"piece typical 1-500g, got 1500.0g"
OUT_OF_RANGE,fresh bay leaves,piece,0.3,One fresh bay leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_bay_leaves_piece_20260415),"piece typical 1-500g, got 0.3g"
OUT_OF_RANGE,fresh bay leaves,count,0.3,One fresh bay leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_bay_leaves_count_20260415),"count typical 1-1500g, got 0.3g"
OUT_OF_RANGE,sage leaves,piece,0.3,One sage leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_sage_leaves_piece_20260415),"piece typical 1-500g, got 0.3g"
OUT_OF_RANGE,sage leaves,count,0.3,One sage leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_sage_leaves_count_20260415),"count typical 1-1500g, got 0.3g"
OUT_OF_RANGE,fresh lemongrass,stalk,15,One stalk fresh lemongrass ~15g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_lemongrass_stalk_20260415),"stalk typical 20-200g, got 15.0g"
OUT_OF_RANGE,gallons water,piece,3785,One gallon water ~3785g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_gallons_water_piece_20260415),"piece typical 1-500g, got 3785.0g"
OUT_OF_RANGE,gallons water,count,3785,One gallon water ~3785g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_gallons_water_count_20260415),"count typical 1-1500g, got 3785.0g"
OUT_OF_RANGE,dashes worcestershire sauce,piece,0.5,One dash worcestershire ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dashes_worcestershire_piece_20260415),"piece typical 1-500g, got 0.5g"
OUT_OF_RANGE,dashes worcestershire sauce,count,0.5,One dash worcestershire ~0.5g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_dashes_worcestershire_count_20260415),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,green cardamoms,piece,0.4,One green cardamom ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_green_cardamoms_piece_20260415),"piece typical 1-500g, got 0.4g"
OUT_OF_RANGE,green cardamoms,count,0.4,One green cardamom ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_green_cardamoms_count_20260415),"count typical 1-1500g, got 0.4g"
OUT_OF_RANGE,clove,piece,0.05,One whole clove (spice) ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_clove_piece_dup_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,fresh curry leaves,piece,0.3,One fresh curry leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_curry_leaves_piece_20260415),"piece typical 1-500g, got 0.3g"
OUT_OF_RANGE,fresh curry leaves,count,0.3,One fresh curry leaf ~0.3g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_curry_leaves_count_20260415),"count typical 1-1500g, got 0.3g"
