fdc_id,title,current_path,centroid_path,decision,chosen_desc,confidence,skip_reason,rationale
2573166,PANKO HERB CRUSTED CHICKEN WITH A MULTIGRAIN MEDLEY BREADED WHITE MEAT CHICKEN P,Pantry > Grain > Quinoa,Frozen > Single Entrees > Frozen Entree > Light,other,frozen breaded chicken patty,0.95,other_jaccard_low_0.50,"The product is a frozen breaded chicken patty, not a grain like quinoa nor a light frozen entree."
2075326,PRETZEL BURGER,Bakery > Buns,Snack > Pretzels > Soft,other,frozen beef patty on pretzel bun,0.95,other_jaccard_low_0.43,"The product is a frozen entree consisting of a flame-broiled beef steak on a pretzel bun, not a bakery bun or a snack pretzel."
2504275,"SWISS CHEESE & MUSHROOM GRILLERS, SWISS CHEESE & MUSHROOM",Meat & Seafood > Pork,Frozen > Appetizers & Snacks > Mini Cheeseburger,other,frozen pork patty with cheese and mushroom,0.95,other_jaccard_low_0.33,"The product is a frozen pork patty with cheese and mushroom, not a plain pork cut or a mini cheeseburger appetizer."
2465360,"SPINACH FETA IN A POCKET SANDWICH, SPINACH FETA",Meal > Pizza,Produce > Vegetables > Spinach,other,frozen spinach feta sandwich,1.00,other_jaccard_low_0.50,"The product is a frozen sandwich with spinach and feta, not a pizza or fresh produce."
2339465,"FOUR CHEESE COMPLETE POTATOES, FOUR CHEESE",Snack > Chips > Potato Chips,Produce > Vegetables > Potatoes > Mashed,other,instant mashed potatoes with cheese,0.95,other_jaccard_low_0.33,"The product is a dehydrated potato side dish with cheese flavoring, not a snack chip or fresh produce."
2534234,"PORK LAU LAU WITH VEGETABLES, PORK WITH VEGETABLES",Frozen > Single Entrees > Frozen Entree,Meat & Seafood > Pork,other,Hawaiian-style pork and taro leaf dish,0.90,other_jaccard_low_0.22,"The product is a prepared Hawaiian dish with multiple ingredients, not a plain pork cut or a frozen entree in the typical sense."
2285694,"THAI BANGKOK VEGETABLES, MEDIUM",Pantry > Sauces & Salsas > Sauce > Medium,Frozen > Single Entrees > Pad Thai,other,canned or jarred Thai vegetable curry,0.95,other_jaccard_low_0.33,"Ingredients show a vegetable curry in coconut milk, not a dry dinner mix or frozen pad thai; current path is a generic sauce but product is a complete meal comp"
2629885,"CAULIFLOWER GNOCCHI PESTO, CAULIFLOWER",Pantry > Sauces & Salsas > Pesto,Produce > Vegetables > Cauliflower,other,frozen cauliflower gnocchi with pesto sauce,0.95,other_jaccard_low_0.30,"The product is a frozen meal combining cauliflower gnocchi and pesto sauce, not a standalone pesto or raw cauliflower."
1872357,"BERTOLLI, SHRIMP, ASPARAGUS & PENNE",Meal > Pasta Dishes > Penne Alfredo,Frozen > Skillet Meals > Shrimp Scampi,other,frozen shrimp and pasta entree with asparagus,0.90,other_jaccard_low_0.40,"The product is a frozen meal with shrimp, asparagus, and penne in a creamy tomato sauce, not specifically Penne Alfredo or Shrimp Scampi."
2154106,"GUAVA PASTRIES, GUAVA",Bakery > Toaster Pastries,Produce > Vegetables > Cassava,other,frozen guava pastry,0.95,other_jaccard_low_0.50,"The product is a frozen guava-filled pastry, not a toaster pastry (which is shelf-stable) nor a vegetable like cassava."
475611,DOUGHNUT,Bakery > Doughnuts,Pantry > Flour,other,gluten-free flour blend,0.90,other_jaccard_low_0.43,"Ingredients are starches and sugar, not a prepared doughnut; current path is wrong, and proposed path is too generic for a blend."
2572068,"PARMESAN PENNE WITH SPINACH IN A PARMESAN SAUCE, PARMESAN",Pantry > Pasta > Penne,Frozen > Single Entrees > Chicken Parmesan,other,frozen pasta entree with spinach and parmesan sauce,0.95,other_jaccard_low_0.42,"The product is a frozen pasta dish with spinach and parmesan sauce, not plain penne pasta or chicken parmesan."
1858719,"GIANT, RICE PASTA & CHEDDAR CHEESE MIX",Pantry > Grain > Rice,Frozen > Single Entrees > Mac and Cheese > Pasta,other,rice pasta and cheddar cheese mix boxed dinner,1.00,other_jaccard_low_0.33,"The product is a boxed pasta dinner mix, not plain rice (current) nor a frozen single entree (proposed)."
2467119,"ULTIMATE CAESAR ROMAINE LETTUCE, ARTISAN-STYLE CROUTONS, CAESAR DRESSING, SHAVED",Bakery > Croutons,Bakery > Croutons > Chopped,other,bagged salad kit with croutons and dressing,1.00,other_jaccard_low_0.25,"The product is a complete salad kit (romaine, croutons, dressing, cheese), not just croutons or chopped croutons."
1938850,"AIOLI, ROASTED GARLIC",Pantry > Sauces & Salsas > Salsa,Produce > Vegetables > Garlic,other,garlic aioli,1.00,other_jaccard_low_0.25,"The product is a creamy garlic-flavored sauce, not a salsa or fresh produce, so it belongs in a condiment or sauce category."
2467123,"COUNTRY RANCH GREEN LEAF LETTUCE, ICEBERG LETTUCE, CORNBREAD CROUTONS, BUTTERMIL",Bakery > Bread > Cornbread,Produce > Vegetables > Carrots > Chopped > Red,other,bagged salad kit with dressing and croutons,1.00,other_jaccard_low_0.25,"The product is a complete salad kit containing lettuce, carrots, red cabbage, dressing, and cornbread croutons, not just cornbread or carrots."
2624333,"CHOCOLATE  OAT DRINK, CHOCOLATE",Beverage > Carbonated > Cola,Pantry > Mixes > Chocolate Milk Mix,other,chocolate oat milk drink,1.00,other_jaccard_low_0.40,"The product is a ready-to-drink chocolate oat beverage, not a carbonated cola or a dry mix."
2489594,"SEASONAL BLEND, SEASONAL",Beverage > Juice,Produce > Salad Mixes > Salad Mix,other,fresh fruit blend,1.00,other_jaccard_low_0.40,"The product is a fresh fruit mix (pineapple, cantaloupe, honeydew, grapes, apples), not a beverage or salad mix."
1905145,SEASONAL FRUIT BLEND,Beverage > Juice,Produce > Salad Mixes > Salad Mix,other,fresh cut fruit blend,1.00,other_jaccard_low_0.33,"The product is a fresh fruit blend with no salad ingredients, making both 'Beverage > Juice' and 'Produce > Salad Mixes > Salad Mix' incorrect."
2275905,MIXED FRUIT BOWL,Snack > Fruit Snacks,Produce > Salad Mixes > Salad Mix,other,fresh cut fruit mix,1.00,other_jaccard_low_0.33,"The product is a fresh fruit bowl with no salad ingredients, so it belongs in fresh cut fruit, not fruit snacks or salad mixes."
2477436,"CHUNK LIGHT TUNA IN SUNFLOWER OIL, CHUNK LIGHT IN SUNFLOWER OIL",Pantry > Oil > Sunflower Oil,Pantry > Oil > Vegetable Oil > Chunk,other,canned tuna in oil,1.00,other_jaccard_low_0.50,"The product is canned tuna packed in sunflower oil, not a standalone oil, so neither current nor proposed path fits."
2068568,TRADITIONAL FRUIT MIX,Snack > Fruit Snacks,Produce > Salad Mixes > Salad Mix,other,fresh fruit mix,1.00,other_jaccard_low_0.40,"The product is a fresh fruit mix (cantaloupe, honeydew, pineapple, grapes), not a snack or salad mix."
2014750,"BOB'S RED MILL, WHOLE GRAIN IVORY WHEAT",Bakery > Bread > Whole Grain > Organic,Pantry > Seeds > Flaxseed Meal,other,whole grain wheat flour,0.95,other_jaccard_low_0.50,"The product is whole grain wheat, not a seed meal like flaxseed, and it's a flour/grain, not a bakery bread."
2487866,SELF-RISING CORN MEAL MIX WITH HOT RIZE,Pantry > Canned Vegetables > Corn > Hot,Pantry > Canned Vegetables > Corn > Enriched,other,self-rising corn meal mix,1.00,other_jaccard_low_0.43,"The product is a dry mix for baking, not canned vegetables; both paths are incorrect."
2065304,SEASONAL FRUIT BLEND,Beverage > Juice,Produce > Salad Mixes > Salad Mix,other,fresh cut fruit blend,1.00,other_jaccard_low_0.33,"The product is a fresh fruit blend with no salad ingredients, making both 'Beverage > Juice' and 'Produce > Salad Mixes > Salad Mix' incorrect."
2113406,SWEET RED PEPPER HUMMUS,Pantry > Spices & Seasonings > Pepper,Pantry > Canned Vegetables > Roasted Red Peppers > Organic,other,hummus with roasted red pepper,1.00,other_jaccard_low_0.50,"The product is a hummus dip, not a spice or canned vegetable; it belongs in a dips or spreads category."
2506796,HUMMUS ROASTED RED BELL PEPPER,Pantry > Spices & Seasonings > Pepper,Pantry > Canned Vegetables > Roasted Red Peppers > Organic,other,hummus dip,1.00,other_jaccard_low_0.33,"The product is a hummus dip, not a pepper seasoning or canned roasted red peppers, based on ingredients like chickpeas and sesame seeds."
2545438,"TAMARIND CHAMOY SAUCE, TAMARIND",Frozen > Ice Cream > Reduced Fat,Pantry > Sauces & Salsas > Sauce > Monk Fruit,other,tamarind chamoy sauce,0.95,other_jaccard_low_0.33,"The product is a sauce, not a frozen dessert or a monk fruit product, based on its ingredients and title."
1761596,ROASTED RED BELL PEPPER HUMMUS,Pantry > Spices & Seasonings > Pepper,Pantry > Canned Vegetables > Roasted Red Peppers > Organic,other,hummus dip,1.00,other_jaccard_low_0.33,"The product is a hummus dip, not a pepper seasoning or canned roasted red peppers."
2385302,KIND FROZEN SMOOTHIE BOWL ALMOND CHOCOLATE BANANA,Frozen > Breakfast > Breakfast Bowl,Frozen > Ice Cream > Bar > No Sugar Added > Reduced Fat,other,frozen smoothie bowl,1.00,other_jaccard_low_0.50,"The product is a frozen smoothie bowl, not a breakfast bowl (current) nor an ice cream bar (proposed)."
